Sr No,date,startup,vertical,city,investors,round,amount
834,2017-05-20,YepMe,eCommerce,New Delhi,Gokaldas Exports Ltd,Private Equity,0
835,2017-05-22,Delhivery,Logistics,New Delhi,Fosun International,Private Equity,30000000
836,2017-05-22,ZipGrid,Consumer Internet,Mumbai,"JLL, 1Crowd",Seed Funding,500000
837,2017-05-23,TravelSpice,ECommerce,Hyderabad,Eagle10 Ventures,Seed Funding,0
838,2017-05-23,Magicpin,Consumer Internet,Gurgaon,"Lightspeed Venture Partners, Vy Capital,",Private Equity,6600000
839,2017-05-23,The Print,Consumer Internet,New Delhi,"Ratan Tata, Nandan Nilekani, Uday Kotak, Vijay Shekhar Sharma, Kiran Mazumdar-Shaw, Rajiv C Mody",Seed Funding,0
840,2017-05-23,Box8,Consumer Internet,Mumbai,Trifecta Capital,Private Equity,1000000
841,2017-05-24,GenNext Students,Consumer Internet,Mumbai,Undisclosed Investors,Seed Funding,580000
842,2017-05-25,Aye Finance,Finance,Gurgaon,Blue Orchard,Private Equity,8000000
843,2017-05-26,WhatsLoan,Consumer Internet,Bangalore,Lahiri Music\\xe2\\x80\\x99s family office,Seed Funding,0
845,2017-05-29,Nivesh,Consumer Internet,Noida,"PV Sahad, Sandeep Shroff, Rahul Gupta",Seed Funding,0
846,2017-05-29,Wowflux,Technology,New Delhi,Undisclosed Investors,Seed Funding,0
847,2017-05-29,Collateral Medical,eCommerce,Mumbai,Carpediem Capital,Private Equity,3500000
848,2017-05-30,Loadshare,Logistics,Bangalore,Matrix Partners,Seed Funding,0
849,2017-05-30,SimpliLend,Consumer Internet,New Delhi,Undisclosed Investors,Seed Funding,0
850,2017-05-30,Supr Daily,Consumer Internet,Mumbai,"Soma Capital, Great Oaks Ventures, 122 West Ventures",Private Equity,1500000
851,2017-05-30,Swiggy,Consumer Internet,Bangalore,"Nasper, Accel India, SAIF Partners, Bessemer Venture Partners, Harmony Partners, Norwest Venture Partners",Private Equity,80000000
852,2017-05-31,SastaSundar,eCommerce,Kolkata,Rohto Pharmaceutical,Private Equity,5000000
853,2017-05-31,Magicpin,Consumer Internet,Gurgaon,"Lightspeed India Partners, Waterbridge Ventures",Private Equity,7000000
854,2017-01-04,Cashe,Consumer Internet,Mumbai,"Mathew Cyriac, Florintree Advisors,",Private Equity,3800000
855,2017-03-04,Eruditus,Education,Mumbai,Bertelsmann India,Private Equity,8200000
856,2017-03-04,TestBook,Consumer Internet,Mumbai,Matrix Partners India,Private Equity,0
857,2017-03-04,Healthcare at Home,Healthcare,Noida,Quadria Capital Advisors,Private Equity,40000000
858,2017-03-04,Tyre Express,Technology,Mumbai,Rohitash Gupta,Seed Funding,0
